code	source	date	artn	dutch	english
@heffen_belasting	Het Parool	2001-05-02	99	Op het inkomen boven *die* drie miljoen *gulden* *wil* De *Waal* *honderd* *procent* *belasting* **heffen**.	De *Waal* *wants* to **levy** a *one hundred percent tax* on all incomes above *that* three million *guilders*.
@heffen_tol	NRC Handelsblad	1999-10-02	31	Mobiliteitsproblemen, rekeningrijden, op een andere manier het *gebruik* van de *weg* *belasten*, kilometers *tellen*, *tol* **heffen** --- de *mogelijkheden* *om* de ingebouwde chip *te* benutten zijn vrijwel onbeperkt.	Mobility problems, road pricing, *taxing* the *use* of *roads* in a different way, *counting* kilometres, **levying** *taxes* --- the *possibilities* *to* utilize the built-in chip are almost unlimited.
@heffen_accijns	De Morgen	2002-07-25	104	...in landen als Groot-Brittannië (waar de accijnzen op 742 euro per 1.000 liter liggen), Italië *en* *Duitsland* (*die* *beide* *accijnzen* *boven* de *400* *euro* **heffen**) komt de *harmonisering* ten goede van de transportsector.	...in countries like Great Britain (where excise duties are at 742 euros per 1,000 liters), Italy *and* *Germany* (*both of which* **levy** *excise duties* *above* *400* *euros*) the transport sector benefits from the *harmonization*.
@heffen_glas	De Standaard	2004-10-20	150	Nog *twaalf* andere deelnemers *konden* *maandagavond* *het* *glas* **heffen** *op* de *hoogste* *winst*.	*On Monday night* another *twelve* participants *could* **raise** *their glasses* *to* the *highest* *profit*.
@hachelijk_onderneming	De Volkskrant	2002-08-05	46	Het is geen gewaagde stelling dat de deelname van de LPF aan de *regering* *een* **hachelijke** *onderneming* *blijft*.	It is not a bold statement that the participation of the LPF in the *government* *remains* *a* **risky** *undertaking*.
@hachelijk_zaak	De Volkskrant	2004-05-05	42	Daar baseerden de media zich op slechts één bron, en elke journalist weet dat *dat* *een* **hachelijke** *zaak* *is*.	The media relied on only one source, and every journalist knows that *that* *is* *a* **dangerous** *thing to do*.
@hachelijk_avontuur	Het Parool	2000-03-17	34	...met storm opzij is het *inhalen* van *een* *vrachtwagen* *een* **hachelijk** *avontuur*...	...under sidewind conditions *overtaking a truck* is *a* **risky** *adventure*...
@hachelijk_moment	Het Laatste Nieuws	2001-05-14	375	*Kortrijk* *beleefde* *enkele* **hachelijke** *momenten* tegen *Brussels*, dat in zijn ondiep bad bewees zijn vierde plaats in de play-offs waard te zijn.	*Kortrijk experienced some* **critical** *moments* against *Brussels*, who in their shallow pool proved to be worthy of their fourth place in the play-offs.
@hachelijk_situatie	De Standaard	2004-10-02	162	Kort maar krachtig staat er: \"De **hachelijke** *situatie* van *Palestina* *is* vooral een interne aangelegenheid, hoewel de bezetting en de confrontatie met Israël er de context voor schept.\"	Short but powerful, it reads: \"The **critical** *situation* in *Palestine is* mostly an internal matter, even though the occupation and the confrontation with Israel create the context for it.\"
@hachelijk_positie	De Morgen	1999-06-07	126	Zij toont knappe filmpjes, *opgenomen* *vanuit* de **hachelijke** *positie* van *een* deltavlieger...	She shows outstanding videos, *taken from* the **hazardous** *position* of *a* hang glider...
@herstructureren_worden	Het Parool	2003-04-16	69	OK-score deelt bedrijven op in tien klassen; klasse 1 blaakt van gezondheid, klasse 10 is op sterven na dood, ofwel, staat op de rand van faillissement en *moet* *grondig* *worden* **geherstructureerd**.	The OK-score divides companies into ten classes: class 1 is brimming with health, class 10 is as good as dead, or rather, stands on the edge of bankruptcy and *must be thoroughly* **restructured**.
@herstructureren_bedrijf	De Standaard	2004-01-06	59	*Ze* **herstructureerden** *het* *bedrijf* *en* loodsten het de internationale groep Taylor Nelson Sofres (TNS) binnen.	*They* **restructured** *the company and* steered it towards the Taylor Nelson Sofres (TNS) international group.
@herstructureren_omte	NRC Handelsblad	2000-11-07	11	Uiteindelijk is dat de regering, want toen de crisis uitbrak nam de overheid een belang in de banken *om* *ze* *te* **herstructureren** *en* *uiteindelijk* *weer* te verkopen.	In the end that is the government, because when the crisis hit the authorities took an interest in the banks *in order to* **restructure** *them and eventually* sell them *again*.
@herinneren_aan	Het Parool	2002-05-18	101	Vinocur **herinnert** *aan* een tekening van Plantu in L'Express.	Vinocur **reminds** [the spectator] *of* a drawing by Plantu in L'Express.
@herinneren_ik	Het Parool	2003-11-14	79	*Ik* **herinner** *me* een *concert* *waarop* *hij* hevig gesticulerend applaus in ontvangst kwam nemen.	*I* **remember** a *concert in which he* received a round of overwhelming applause.
@herinneren_zich	Het Nieuwsblad	2001-08-08	192	\"Het was *die* *dag* *bloedheet*\", **herinnert** de *atlete* *uit* *Sint-Andries* *zich* *nog* *levendig*.	\"It was *scorching hot that day*\", **remembers** the *athlete from Sint-Andries vividly*.
@herinneren_eraan	De Morgen	2001-11-10	40	In *zijn* *voorwoord* **herinnert** Manara *eraan* *dat* deze *meisjes* in hun *tijd* *vaak* met toegeknepen oogjes werden aanschouwd.	In *his preface* Manara **reminds** [the reader] *that* back in their *time* these *girls* were *often* looked at with squinted eyes.
@uitspraak_1	De Standaard	2002-05-04	95	*Het* beroepscomité **herriep** *gisteren* *de* *uitspraak* van de licentiecommissie en besliste om KV Mechelen toch zijn licentie te geven.	*Yesterday the* court of appeal **voided** *the verdict* from the licencing committee and instead decided to grant KV Mechelen a licence.
@uitspraak_2	NRC Handelsblad	2001-10-04	79	Onder druk van Commissievoorzitter Prodi heeft Nielson verklaard dat hij verkeerd is geïnterpreteerd, maar hij heeft *zijn* *uitspraak* *niet* **herroepen**.	Under pressure from committee chairman Prodi, Nielson declared that he had been misinterpreted, but he did *not* **recant** *his statement*.
@heet_soep	De Volkskrant	1999-12-21	22	Hoogstwaarschijnlijk zal Poetin Ruslands afgeknapte westerse partners discreet laten weten dat zodra hij eenmaal in het Kremlin *zit*, *de* *soep* *minder* **heet** *gegeten* *zal* *worden*.	Most probably Putin will discretely let Russia's former western allies know that as soon as he *is* in the Kremlin, things will look up (lit. *the soep will be eaten less* **hot**).
@geldig_voorleggen	Het Laatste Nieuws	2001-08-24	64	Aan de incheckbalie *kon* de *Somaliër* *echter* geen **geldige** *papieren* *voorleggen*.	*But* the *Somali could* not *show* any *valid papers* at the check-in desk.
@geldig_lang	De Standaard	1999-05-29	41	Klanten van Kunst In Huis zijn bovendien zeker van variatie: wie lid is, kan elke maand een ander werk uitkiezen, het *abonnement* *blijft* een leven *lang* **geldig** en de *maandelijkse* *huurprijs* van 250 *frank* *is* *ook* *niet* bepaald hoog te noemen.	Moreover, customers of Kunst In Huis (lit. Art At Home) are guaranteed variation: members can choose a different work each month; the *subscription remains* **valid** for a life*time* and the *monthly fee* of 250 *franks is not* particularly high *either*.
@blik_werpen	Het Laatste Nieuws	2002-04-23	54	Op zaterdag 27 april zwaait de lokale politie van de zone Kortrijk-Kuurne-Lendelede de deuren wijd *open* voor *al* *wie* *een* **blik** wil *werpen* *achter* *de* *schermen* van het politiewerk.	On Saturday 27 April the local police of the Kortrijk-Kuurne-Lendelede zone *opens* their doors wide for *all those who* want to *have a* **look** *behind the scenes* of police work.
@blik_richten	De Volkskrant	2003-09-27	170	Maar wat is goed genoeg, zo lijkt Staelens zich *af* te vragen, *haar* **blik** *strak* *naar* *beneden* *gericht*.	But what is good enough, Staelens seems to wonder, *her* **gaze** *looking straight down*.
@blik_1	Het Parool	2004-03-02	121	Totdat *Walsh* *met* *een* *droevige* **blik** *in* *zijn* *ogen* vertelt dat hij het moeilijk heeft.	Until *Walsh*, *with* *a* *sad* **look** *in* *his* *eyes*, says that he's having a hard time.
@blik_3	Algemeen Dagblad	2001-02-20	129	IMF en Wereldbank liggen al jaren onder vuur wegens *hun* vermeend *eenzijdige* **blik** *op* *de* ontwikkelingsproblemen *van* *Afrika*.	The IMF and the World Bank have been under attack for years because of *their* alledgedly *unilateral* **view** *on* *the* delevopment issues *in Africa*.
@blik_5	NRC Handelsblad	2003-12-05	120	Zijn vader had *een* fabriek waar *voedsel* *in* **blik** werd gemaakt.	His father had *a* factory where canned food (lit. *food* *in* **tin cans**) was made.
@huldigen_principe	De Morgen	1999-03-10	12	Jacques: \"Voor het *eerst* **huldigen** we het *principe* dat de vervuiler betaalt.\"	Jacques: \"For the *first* time we **uphold** the *principle* that polluters must pay.\"
@huldigen_standpunt	NRC Handelsblad	2000-04-03	97	De regering in Washington **huldigt** het *standpunt* dat volgens Amerikaans recht de vader beslist over het domicilie van zijn minderjarige zoon.	The government in Washington **holds** the *view* that according to American law fathers decide on the primary residence of their underage sons.
@huldigen_opvatting	De Standaard	2003-01-09	93	...de objectieve stand van zaken in de buitenwereld zou kunnen *weerspiegelen*. Rorty **huldigde** *voortaan* de *opvatting* dat waarheid synoniem is voor wat goed is voor ons.	...would *reflect* the objective state of affairs in the outside world. *Ever since* Rorty **has held** the *opinion* that the truth is a synonym for what is good for us.
@huldigen_kampioen	Het Laatste Nieuws	2003-04-15	121	\"Elk *jaar* **huldigen** wij onze *kampioenen* en sinds enkele jaren richten we een jeugdkampioenschap in\", zegt voorzitter Eddy Vermoortele.	\"Every *year* we **honour** our *champions* and for a few years we've been organizing a youth championship\", says chairman Eddy Vermoortele.
@huldigen_1	Het Laatste Nieuws	2003-07-18	256	Langs de versierde straten zijn we naar de kerk gereden en na de plechtigheid hebben we Karel nog **gehuldigd** in *feestzaal* Santro. Hij is nog een heel kranige man.	We drove through the ornate streets towards the church and after the ceremony we **honoured** Karel at the *party hall* Santro. He is still a spry man.
@stof_sense6	Algemeen Dagblad	1999-12-08	3	Het huwelijk tussen de hervormde Maurits en de katholieke Marylene *deed* de *nodige* **stof** *opwaaien*.	The wedding between Maurit, a Reformed Christian, and Marylene, a Catholic, inspired a much needed debate (lit. '*stirred up* the *necessary* **dust**').
@stof_sense2	De Standaard	2001-01-19	6	Dankzij de nieuwe vlekwerende \"stay clean\"-behandelingen dringen zelfs vloeistoffen zoals olie, vruchtensap of *water* niet in de **stof**.	Thanks to the new stain-resistant \"stay clean\" treatments even liquids such as oil, fruit juice or *water* do not penetrate the **fabric**.
@stof_sense4	De Morgen	2003-04-15	65	Na het **stof** de *douche*. De tocht door de Hel zit er op.	After the **dust** the *shower*. The trip through Hell [a cobblestone cycling road] is over.
@hoop_pathweight3	NRC Handelsblad	2004/05/24	93	De^3^ trainer^2^ van^3^ FC Utrecht sprak^1^ verder^2^ de^1^ **hoop** uit^2^ dat^1^ hij^3^ binnenkort weer eens mag^2^ investeren^3^ van de clubleiding.	The manager of FC Utrecht also expressed the **hope** that the club management would allow him to invest once again soon.
@hoop_pathweight2	Algemeen Dagblad	2001-01-27	78	 Er^3^ is^2^ een^1^ **hoop** onzin^1^, talent is^3^ niet iedereen gegeven.	There is a **lot of** nonsense; talent is not given to everyone.
@stof_5lex_3	Algemeen Dagblad	2003-12-11	58	Dit is een perfect voorbeeld van een film die na afloop veel **stof** tot *discussie* *oplevert*.	This is a perfect example of a film that afterwards *provides* a lot of food for thought (lit. **stuff** for *discussion*).
@exgeschiedenis	De Morgen	2004-08-02	98	*Als* *de* *geschiedenis* *zich* *werkelijk* *mocht* **herhalen**, zijn Vitales dagen *geteld*.	*If* [*the*] *history* *really* **repeated** *itself*, Vitales' days are *counted*.
