cw_index	dep	distance	head	cw_type	path	position	same_sent	sent_index	side	steps	text_index	wordform	token_id	type	conc_distance	conc_id	ann_3	ann_1	ann_2	ann_4	votes	rgx_lemma	right_1	right_2	right_3	right_4	count_cue	sense_1	sense_2	sense_3	sense_4	majority_sense	final_sense	collapsed_sense
heilzaam/adj/nrc_handelsblad_20000128_135/94/R6	obj1	6	22	humeur/noun	effect->[mod:#T,mod:op->obj1:CW]	R6	TRUE	25	R	3	100	humeur	heilzaam/adj/nrc_handelsblad_20000128_135/94	heilzaam	6	heilzaam/adj/nrc_handelsblad_20000128_135/94/R5	TRUE	TRUE	FALSE	FALSE	2	humeur	TRUE	FALSE	TRUE	FALSE	2	heilzaam_2	heilzaam_2	heilzaam_2	NA	beneficial	heilzaam_2	heilzaam_2
heilzaam/adj/nrc_handelsblad_20000308_39/353/R5	obj1	5	18	creativiteit/noun	sorteer->obj1:effect->[mod:#T,pc:op->obj1:CW]	R5	TRUE	20	R	4	358	creativiteit	heilzaam/adj/nrc_handelsblad_20000308_39/353	heilzaam	5	heilzaam/adj/nrc_handelsblad_20000308_39/353/R4	TRUE	FALSE	TRUE	FALSE	2	creativiteit	FALSE	TRUE	TRUE	FALSE	2	heilzaam_2	heilzaam_2	heilzaam_2	NA	beneficial	heilzaam_2	heilzaam_2
heilzaam/adj/nrc_handelsblad_20000308_39/353/R7	obj1	7	21	filmmaker/noun	sorteer->obj1:effect->[mod:#T,pc:op->obj1:creativiteit->mod:van->obj1:CW]	R7	TRUE	22	R	6	360	filmmakers	heilzaam/adj/nrc_handelsblad_20000308_39/353	heilzaam	7	heilzaam/adj/nrc_handelsblad_20000308_39/353/R6	TRUE	TRUE	FALSE	FALSE	2	filmmaker	TRUE	FALSE	TRUE	FALSE	2	heilzaam_2	heilzaam_2	heilzaam_2	NA	beneficial	heilzaam_2	heilzaam_2
heilzaam/adj/nrc_handelsblad_20000502_91/102/R3	ld	3	9	thuis/adv	werking->[mod:#T,mod:van->obj1:zit->ld:CW]	R3	TRUE	8	R	4	105	thuis	heilzaam/adj/nrc_handelsblad_20000502_91/102	heilzaam	3	heilzaam/adj/nrc_handelsblad_20000502_91/102/R2	TRUE	TRUE	TRUE	FALSE	3	thuis	TRUE	FALSE	TRUE	FALSE	2	heilzaam_1	heilzaam_2	heilzaam_1	NA	healthy	heilzaam_1	heilzaam_1
heilzaam/adj/nrc_handelsblad_20000502_91/102/R4	obj1	4	7	zit/verb	werking->[mod:#T,mod:van->obj1:CW]	R4	TRUE	9	R	3	106	zitten	heilzaam/adj/nrc_handelsblad_20000502_91/102	heilzaam	4	heilzaam/adj/nrc_handelsblad_20000502_91/102/R3	TRUE	TRUE	TRUE	FALSE	3	zit	TRUE	FALSE	TRUE	FALSE	2	heilzaam_1	heilzaam_2	heilzaam_1	NA	healthy	heilzaam_1	heilzaam_1
heilzaam/adj/nrc_handelsblad_20000505_64/25/L10	mod	10	7	cosmopolitisch/adj	geld->dp:als->[obj1:#T,su:instelling->mod:CW]	L10	TRUE	6	L	4	15	kosmopolitische	heilzaam/adj/nrc_handelsblad_20000505_64/25	heilzaam	10	heilzaam/adj/nrc_handelsblad_20000505_64/25/L9	FALSE	TRUE	TRUE	FALSE	2	cosmopolitisch	TRUE	TRUE	FALSE	FALSE	2	heilzaam_2	heilzaam_2	heilzaam_1	NA	beneficial	heilzaam_2	heilzaam_2
heilzaam/adj/nrc_handelsblad_20000701_38/883/R9	predc	9	18	partij/noun	werk->[mod:#T,ld:voor->obj1:ND->mod:die->body:pretendeer->vc:te->body:ben->predc:CW]	R9	TRUE	13	R	8	892	partij	heilzaam/adj/nrc_handelsblad_20000701_38/883	heilzaam	9	heilzaam/adj/nrc_handelsblad_20000701_38/883/R8	TRUE	TRUE	TRUE	FALSE	3	partij	TRUE	TRUE	TRUE	FALSE	3	heilzaam_2	heilzaam_2	heilzaam_2	NA	beneficial	heilzaam_2	heilzaam_2
heilzaam/adj/nrc_handelsblad_20000819_139/768/L13	predc	13	8	genees_middel/noun	NA	L13	FALSE	NA	L	NA	755	geneesmiddel	heilzaam/adj/nrc_handelsblad_20000819_139/768	heilzaam	11	heilzaam/adj/nrc_handelsblad_20000819_139/768/L10	TRUE	TRUE	TRUE	FALSE	3	genees_middel	TRUE	TRUE	TRUE	FALSE	3	heilzaam_1	heilzaam_1	heilzaam_1	NA	healthy	heilzaam_1	heilzaam_1
heilzaam/adj/nrc_handelsblad_20000819_139/768/L2	obj1	2	5	plant/noun	heb->obj1:werking->[mod:#T,mod:voor->obj1:CW]	L2	TRUE	6	L	4	766	planten	heilzaam/adj/nrc_handelsblad_20000819_139/768	heilzaam	2	heilzaam/adj/nrc_handelsblad_20000819_139/768/L1	TRUE	TRUE	TRUE	FALSE	3	plant	TRUE	TRUE	TRUE	FALSE	3	heilzaam_1	heilzaam_1	heilzaam_1	NA	healthy	heilzaam_1	heilzaam_1
heilzaam/adj/nrc_handelsblad_20000908_130/1775/R4	mod	4	21	geestelijk/adj	werking->[mod:#T,mod:van->obj1:gezondheidszorg->mod:CW]	R4	TRUE	20	R	4	1779	geestelijke	heilzaam/adj/nrc_handelsblad_20000908_130/1775	heilzaam	4	heilzaam/adj/nrc_handelsblad_20000908_130/1775/R3	TRUE	TRUE	TRUE	FALSE	3	geestelijk	TRUE	TRUE	TRUE	FALSE	3	heilzaam_1	heilzaam_1	heilzaam_1	NA	healthy	heilzaam_1	heilzaam_1
heilzaam/adj/nrc_handelsblad_20000908_130/1775/R5	obj1	5	18	gezondheidszorg/noun	werking->[mod:#T,mod:van->obj1:CW]	R5	TRUE	21	R	3	1780	gezondheidszorg	heilzaam/adj/nrc_handelsblad_20000908_130/1775	heilzaam	5	heilzaam/adj/nrc_handelsblad_20000908_130/1775/R4	TRUE	TRUE	TRUE	FALSE	3	gezondheidszorg	TRUE	TRUE	TRUE	FALSE	3	heilzaam_1	heilzaam_1	heilzaam_1	NA	healthy	heilzaam_1	heilzaam_1
heilzaam/adj/nrc_handelsblad_20001006_120/323/R3	obj1	3	4	fluoriden/noun	werking->[mod:#T,mod:van->obj1:CW]	R3	TRUE	5	R	3	326	fluoriden	heilzaam/adj/nrc_handelsblad_20001006_120/323	heilzaam	3	heilzaam/adj/nrc_handelsblad_20001006_120/323/R2	FALSE	TRUE	TRUE	FALSE	2	fluoriden	TRUE	TRUE	FALSE	FALSE	2	heilzaam_1	heilzaam_1	heilzaam_1	NA	healthy	heilzaam_1	heilzaam_1
heilzaam/adj/nrc_handelsblad_20001006_120/323/R6	obj1	6	6	gebit/noun	werking->[mod:#T,mod:van->obj1:fluoriden->mod:op->obj1:CW]	R6	TRUE	8	R	5	329	gebit	heilzaam/adj/nrc_handelsblad_20001006_120/323	heilzaam	6	heilzaam/adj/nrc_handelsblad_20001006_120/323/R5	TRUE	TRUE	TRUE	FALSE	3	gebit	TRUE	TRUE	TRUE	FALSE	3	heilzaam_1	heilzaam_1	heilzaam_1	NA	healthy	heilzaam_1	heilzaam_1
heilzaam/adj/nrc_handelsblad_20001111_39/181/R4	mod	4	15	sociaal-economisch/adj	eenwording->mod:en->[cnj:#T,mod:van->obj1:structuur->mod:CW]	R4	TRUE	14	R	5	185	sociaal-economische	heilzaam/adj/nrc_handelsblad_20001111_39/181	heilzaam	4	heilzaam/adj/nrc_handelsblad_20001111_39/181/R3	TRUE	TRUE	FALSE	FALSE	2	sociaal\-economisch	TRUE	FALSE	TRUE	FALSE	2	heilzaam_2	heilzaam_2	heilzaam_2	NA	beneficial	heilzaam_2	heilzaam_2
heilzaam/adj/nrc_handelsblad_20001111_39/181/R5	obj1	5	12	structuur/noun	eenwording->mod:en->[cnj:#T,mod:van->obj1:CW]	R5	TRUE	15	R	4	186	structuren	heilzaam/adj/nrc_handelsblad_20001111_39/181	heilzaam	5	heilzaam/adj/nrc_handelsblad_20001111_39/181/R4	TRUE	TRUE	TRUE	FALSE	3	structuur	TRUE	TRUE	TRUE	FALSE	3	heilzaam_2	heilzaam_2	heilzaam_2	NA	beneficial	heilzaam_2	heilzaam_2
heilzaam/adj/nrc_handelsblad_20001117_7/665/L8	su	8	4	partij/noun	geloof->mod:in->obj1:werking->[mod:#T,su:CW]	L8	TRUE	3	L	4	657	partijen	heilzaam/adj/nrc_handelsblad_20001117_7/665	heilzaam	8	heilzaam/adj/nrc_handelsblad_20001117_7/665/L7	FALSE	TRUE	TRUE	FALSE	2	partij	TRUE	TRUE	FALSE	FALSE	2	heilzaam_2	heilzaam_2	heilzaam_2	NA	beneficial	heilzaam_2	heilzaam_2
heilzaam/adj/nrc_handelsblad_20001117_7/665/R1	obj1	1	9	werking/noun	CW->mod:#T	R1	TRUE	12	R	1	666	werking	heilzaam/adj/nrc_handelsblad_20001117_7/665	heilzaam	1	heilzaam/adj/nrc_handelsblad_20001117_7/665/R0	FALSE	TRUE	TRUE	FALSE	2	werking	TRUE	TRUE	FALSE	FALSE	2	heilzaam_2	heilzaam_2	heilzaam_2	NA	beneficial	heilzaam_2	heilzaam_2
heilzaam/adj/nrc_handelsblad_20001216_24/400/R3	obj1	3	9	euro/noun	blijk->predc:en->[cnj:#T,mod:voor->obj1:CW]	R3	TRUE	11	R	4	403	euro	heilzaam/adj/nrc_handelsblad_20001216_24/400	heilzaam	3	heilzaam/adj/nrc_handelsblad_20001216_24/400/R2	TRUE	TRUE	TRUE	FALSE	3	euro	TRUE	TRUE	TRUE	FALSE	3	heilzaam_2	heilzaam_2	heilzaam_2	NA	beneficial	heilzaam_2	heilzaam_2
heilzaam/adj/nrc_handelsblad_20001216_56/934/L7	su	7	18	droom/verb	word->vc:beschouw->predc:als->obj1:voorteken->[mod:#T,su:CW]	L7	TRUE	9	L	5	927	dromen	heilzaam/adj/nrc_handelsblad_20001216_56/934	heilzaam	7	heilzaam/adj/nrc_handelsblad_20001216_56/934/L6	TRUE	TRUE	TRUE	FALSE	3	droom	TRUE	TRUE	TRUE	FALSE	3	heilzaam_1	heilzaam_1	heilzaam_1	NA	healthy	heilzaam_1	heilzaam_1
heilzaam/adj/nrc_handelsblad_20001216_56/934/L3	obj1	3	10	stand_DIM/noun	word->vc:beschouw->predc:als->obj1:voorteken->[mod:#T,su:droom->mod:van->obj1:CW]	L3	TRUE	13	L	7	931	standjes	heilzaam/adj/nrc_handelsblad_20001216_56/934	heilzaam	3	heilzaam/adj/nrc_handelsblad_20001216_56/934/L2	TRUE	FALSE	TRUE	FALSE	2	stand_DIM	FALSE	TRUE	TRUE	FALSE	2	heilzaam_1	heilzaam_1	heilzaam_1	NA	healthy	heilzaam_1	heilzaam_1
heilzaam/adj/nrc_handelsblad_20001223_40/1146/L7	su	7	6	therapie/noun	heb->obj1:effect->[mod:#T,su:CW]	L7	TRUE	1	L	3	1139	Therapie	heilzaam/adj/nrc_handelsblad_20001223_40/1146	heilzaam	7	heilzaam/adj/nrc_handelsblad_20001223_40/1146/L6	TRUE	TRUE	TRUE	FALSE	3	therapie	TRUE	FALSE	TRUE	FALSE	2	heilzaam_1	between	heilzaam_1	NA	healthy	heilzaam_1	heilzaam_1
heilzaam/adj/nrc_handelsblad_20010112_136/468/L8	su	8	8	activiteit/noun	ben->[predc:#T,su:CW]	L8	TRUE	2	L	2	460	activiteiten	heilzaam/adj/nrc_handelsblad_20010112_136/468	heilzaam	8	heilzaam/adj/nrc_handelsblad_20010112_136/468/L7	TRUE	TRUE	FALSE	FALSE	2	activiteit	TRUE	FALSE	TRUE	FALSE	2	heilzaam_1	heilzaam_1	heilzaam_1	NA	healthy	heilzaam_1	heilzaam_1
heilzaam/adj/nrc_handelsblad_20010112_136/468/L5	body	5	4	piano_speel/verb	ben->[predc:#T,su:activiteit->mod:zoals->body:CW]	L5	TRUE	5	L	4	463	pianospelen	heilzaam/adj/nrc_handelsblad_20010112_136/468	heilzaam	5	heilzaam/adj/nrc_handelsblad_20010112_136/468/L4	TRUE	FALSE	TRUE	FALSE	2	piano_speel	FALSE	TRUE	TRUE	FALSE	2	heilzaam_1	heilzaam_1	heilzaam_1	NA	healthy	heilzaam_1	heilzaam_1
heilzaam/adj/nrc_handelsblad_20010112_136/468/R10	obj1	10	22	hersenhelft/noun	ben->[predc:#T,tag:zeg->mod:omdat->body:moet->vc:gebruik->obj1:CW]	R10	TRUE	20	R	6	478	hersenhelften	heilzaam/adj/nrc_handelsblad_20010112_136/468	heilzaam	10	heilzaam/adj/nrc_handelsblad_20010112_136/468/R9	FALSE	TRUE	TRUE	FALSE	2	hersenhelft	TRUE	TRUE	FALSE	FALSE	2	heilzaam_1	heilzaam_1	heilzaam_1	NA	healthy	heilzaam_1	heilzaam_1
heilzaam/adj/nrc_handelsblad_20010123_5/480/R1	cnj	1	17	werkelijkheid/noun	CW->mod:#T	R1	TRUE	21	R	1	481	werkelijkheid	heilzaam/adj/nrc_handelsblad_20010123_5/480	heilzaam	1	heilzaam/adj/nrc_handelsblad_20010123_5/480/R0	FALSE	TRUE	TRUE	FALSE	2	werkelijkheid	TRUE	TRUE	FALSE	FALSE	2	heilzaam_2	heilzaam_2	heilzaam_2	NA	beneficial	heilzaam_2	heilzaam_2
heilzaam/adj/nrc_handelsblad_20010129_77/122/R4	mod	4	16	religieus/adj	werking->[mod:#T,mod:van->obj1:smart_lap->mod:CW]	R4	TRUE	15	R	4	126	religieuze	heilzaam/adj/nrc_handelsblad_20010129_77/122	heilzaam	4	heilzaam/adj/nrc_handelsblad_20010129_77/122/R3	TRUE	TRUE	TRUE	FALSE	3	religieus	TRUE	TRUE	FALSE	FALSE	2	heilzaam_2	heilzaam_2	heilzaam_1	NA	beneficial	heilzaam_2	heilzaam_2
heilzaam/adj/nrc_handelsblad_20010129_77/122/R5	obj1	5	13	smart_lap/noun	werking->[mod:#T,mod:van->obj1:CW]	R5	TRUE	16	R	3	127	smartlap	heilzaam/adj/nrc_handelsblad_20010129_77/122	heilzaam	5	heilzaam/adj/nrc_handelsblad_20010129_77/122/R4	TRUE	TRUE	TRUE	FALSE	3	smart_lap	TRUE	TRUE	FALSE	FALSE	2	heilzaam_2	heilzaam_2	heilzaam_1	NA	beneficial	heilzaam_2	heilzaam_2
heilzaam/adj/nrc_handelsblad_20010223_112/237/R1	obj1	1	26	ontnuchtering/noun	CW->mod:#T	R1	TRUE	31	R	1	238	ontnuchtering	heilzaam/adj/nrc_handelsblad_20010223_112/237	heilzaam	1	heilzaam/adj/nrc_handelsblad_20010223_112/237/R0	TRUE	TRUE	TRUE	FALSE	3	ontnuchtering	TRUE	TRUE	FALSE	FALSE	2	heilzaam_2	heilzaam_2	heilzaam_1	NA	beneficial	heilzaam_2	heilzaam_2
heilzaam/adj/nrc_handelsblad_20010426_61/409/R1	su	1	24	effect/noun	CW->mod:#T	R1	TRUE	11	R	1	410	effecten	heilzaam/adj/nrc_handelsblad_20010426_61/409	heilzaam	1	heilzaam/adj/nrc_handelsblad_20010426_61/409/R0	TRUE	TRUE	FALSE	FALSE	2	effect	TRUE	FALSE	TRUE	FALSE	2	heilzaam_1	heilzaam_1	heilzaam_1	NA	healthy	heilzaam_1	heilzaam_1
heilzaam/adj/nrc_handelsblad_20010426_61/409/R3	obj1	3	12	zonnebrandmiddelen/noun	effect->[mod:#T,mod:van->obj1:CW]	R3	TRUE	13	R	3	412	zonnebrandmiddelen	heilzaam/adj/nrc_handelsblad_20010426_61/409	heilzaam	3	heilzaam/adj/nrc_handelsblad_20010426_61/409/R2	TRUE	TRUE	TRUE	FALSE	3	zonnebrandmiddelen	TRUE	TRUE	TRUE	FALSE	3	heilzaam_1	heilzaam_1	heilzaam_1	NA	healthy	heilzaam_1	heilzaam_1
heilzaam/adj/nrc_handelsblad_20010426_61/409/R12	obj1	12	21	huid_kanker/noun	effect->[mod:#T,mod:van->obj1:zonnebrandmiddelen->mod:bescherming->mod:tegen->obj1:CW]	R12	TRUE	22	R	6	421	huidkanker	heilzaam/adj/nrc_handelsblad_20010426_61/409	heilzaam	12	heilzaam/adj/nrc_handelsblad_20010426_61/409/R11	FALSE	TRUE	TRUE	FALSE	2	huid_kanker	TRUE	TRUE	FALSE	FALSE	2	heilzaam_1	heilzaam_1	heilzaam_1	NA	healthy	heilzaam_1	heilzaam_1
heilzaam/adj/nrc_handelsblad_20010713_155/719/L5	obj1	5	12	patiënt/noun	leid->ld:tot->obj1:crisis->mod:maar->[cnj:#T,mod:bij->obj1:CW]	L5	TRUE	14	L	6	714	patiënt	heilzaam/adj/nrc_handelsblad_20010713_155/719	heilzaam	5	heilzaam/adj/nrc_handelsblad_20010713_155/719/L4	TRUE	TRUE	TRUE	FALSE	3	patiënt	TRUE	TRUE	TRUE	FALSE	3	heilzaam_1	heilzaam_1	heilzaam_1	NA	healthy	heilzaam_1	heilzaam_1
heilzaam/adj/nrc_handelsblad_20010713_155/719/R5	cnj	5	29	sidderingen/noun	crisis->mod:maar->[cnj:#T,mod:compleet->mod:met->obj1:en->cnj:CW]	R5	TRUE	24	R	6	724	sidderingen	heilzaam/adj/nrc_handelsblad_20010713_155/719	heilzaam	5	heilzaam/adj/nrc_handelsblad_20010713_155/719/R4	TRUE	FALSE	TRUE	FALSE	2	sidderingen	FALSE	TRUE	TRUE	FALSE	2	heilzaam_1	heilzaam_1	heilzaam_1	NA	healthy	heilzaam_1	heilzaam_1
heilzaam/adj/nrc_handelsblad_20010713_155/719/R7	cnj	7	29	toeval/noun	crisis->mod:maar->[cnj:#T,mod:compleet->mod:met->obj1:en->cnj:CW]	R7	TRUE	26	R	6	726	toevallen	heilzaam/adj/nrc_handelsblad_20010713_155/719	heilzaam	7	heilzaam/adj/nrc_handelsblad_20010713_155/719/R6	TRUE	FALSE	TRUE	FALSE	2	toeval	FALSE	TRUE	TRUE	FALSE	2	heilzaam_1	heilzaam_1	heilzaam_1	NA	healthy	heilzaam_1	heilzaam_1
heilzaam/adj/nrc_handelsblad_20010713_155/719/R9	cnj	9	29	kramp/noun	crisis->mod:maar->[cnj:#T,mod:compleet->mod:met->obj1:en->cnj:CW]	R9	TRUE	28	R	6	728	krampen	heilzaam/adj/nrc_handelsblad_20010713_155/719	heilzaam	9	heilzaam/adj/nrc_handelsblad_20010713_155/719/R8	TRUE	FALSE	TRUE	FALSE	2	kramp	FALSE	TRUE	TRUE	FALSE	2	heilzaam_1	heilzaam_1	heilzaam_1	NA	healthy	heilzaam_1	heilzaam_1
heilzaam/adj/nrc_handelsblad_20010713_155/719/R11	cnj	11	29	duizeling/noun	crisis->mod:maar->[cnj:#T,mod:compleet->mod:met->obj1:en->cnj:CW]	R11	TRUE	30	R	6	730	duizelingen	heilzaam/adj/nrc_handelsblad_20010713_155/719	heilzaam	11	heilzaam/adj/nrc_handelsblad_20010713_155/719/R10	TRUE	FALSE	TRUE	FALSE	2	duizeling	FALSE	TRUE	TRUE	FALSE	2	heilzaam_1	heilzaam_1	heilzaam_1	NA	healthy	heilzaam_1	heilzaam_1
heilzaam/adj/nrc_handelsblad_20011116_30/584/L4	obj1	4	34	recessie/noun	CW->mod:die->body:kan->vc:ben->predc:#T	L4	TRUE	24	L	4	580	recessie	heilzaam/adj/nrc_handelsblad_20011116_30/584	heilzaam	4	heilzaam/adj/nrc_handelsblad_20011116_30/584/L3	FALSE	TRUE	TRUE	FALSE	2	recessie	TRUE	TRUE	FALSE	FALSE	2	heilzaam_2	heilzaam_2	heilzaam_2	NA	beneficial	heilzaam_2	heilzaam_2
heilzaam/adj/nrc_handelsblad_20011116_30/584/R15	mod	15	7	economisch/adj	NA	R15	FALSE	NA	R	NA	599	economische	heilzaam/adj/nrc_handelsblad_20011116_30/584	heilzaam	13	heilzaam/adj/nrc_handelsblad_20011116_30/584/R12	TRUE	TRUE	TRUE	FALSE	3	economisch	TRUE	TRUE	TRUE	FALSE	3	heilzaam_2	heilzaam_2	heilzaam_2	NA	beneficial	heilzaam_2	heilzaam_2
heilzaam/adj/nrc_handelsblad_20020107_133/781/L7	mod	7	6	gezond/adj	en->cnj:laat->vc:doe->obj1:werk->[mod:#T,cnj:kijk->ld:naar->obj1:toekomst->mod:CW]	L7	TRUE	5	L	8	774	gezonde	heilzaam/adj/nrc_handelsblad_20020107_133/781	heilzaam	7	heilzaam/adj/nrc_handelsblad_20020107_133/781/L6	TRUE	FALSE	TRUE	FALSE	2	gezond	FALSE	TRUE	TRUE	FALSE	2	heilzaam_2	heilzaam_1	heilzaam_1	NA	healthy	heilzaam_1	heilzaam_1
heilzaam/adj/nrc_handelsblad_20020107_133/781/L6	obj1	6	3	toekomst/noun	en->cnj:laat->vc:doe->obj1:werk->[mod:#T,cnj:kijk->ld:naar->obj1:CW]	L6	TRUE	6	L	7	775	toekomst	heilzaam/adj/nrc_handelsblad_20020107_133/781	heilzaam	6	heilzaam/adj/nrc_handelsblad_20020107_133/781/L5	TRUE	FALSE	TRUE	FALSE	2	toekomst	FALSE	TRUE	TRUE	FALSE	2	heilzaam_2	heilzaam_1	heilzaam_1	NA	healthy	heilzaam_1	heilzaam_1
